"File","Line","Literal","Category"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","308","value.lastIndexOf(""#"")","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","316","fill: ""#94a3b8""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","325","stroke: ""#0f766e""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","327","strokeDasharray: ""4 4""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","330","background: ""rgba(15, 23, 42, 0.96)""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","331","border: ""1px solid rgba(100, 116, 139, 0.35)""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","332","borderRadius: ""12px""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","333","color: ""#e2e8f0""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","334","fontSize: ""12px""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","335","padding: ""8px 10px""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","336","boxShadow: ""0 8px 24px rgba(0,0,0,0.25)""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","338","color: ""#cbd5e1""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","338","marginBottom: ""4px""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","349","dataKey=""rating""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","350","stroke=""#14b8a6""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","353","fill=""url(#ratingFill)""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","387","stroke: ""#0f766e""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","389","fill: ""#14b8a6""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RecentGames.tsx","51","<button
          onClick={() => setActiveTab(""games"")}
          className=""text-sm text-brand-600 dark:text-brand-400 hover:underline font-medium""
        >
          {t(""profileGames.viewAll"", ""View All"")} â†’
        </button>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\TournamentProfileSection.tsx","115","<div className=""text-lg font-bold text-gray-900 dark:text-gray-100"">
            {data.record.wins} / {data.record.draws} / {data.record.losses}
          </div>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\TournamentProfileSection.tsx","115","<div className=""text-lg font-bold text-gray-900 dark:text-gray-100"">
            {data.record.wins} / {data.record.draws} / {data.record.losses}
          </div>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\TournamentProfileSection.tsx","144","width=""100%""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\TournamentProfileSection.tsx","144","height=""100%""","safe_technical"
