
=== YOUR CODE STATISTICS ===

server\server\services\notify.js                                 68 lines
src\chess\usePreMove.ts                                          68 lines
src\components\game\PromotionModal.tsx                           67 lines
src\components\profilePage\OverviewTabContent.tsx                67 lines
src\pages\adminCommunity\types.ts                                67 lines
src\pages\adminDashboard\DashboardStats.tsx                      66 lines
src\hooks\useGameStateChecker.ts                                 65 lines
server\server\scripts\cleanupShortGames.js                       64 lines
server\server\models\TournamentPlayer.js                         62 lines
src\components\replay\QualityBreakdown.tsx                       62 lines
countLines.js                                                    61 lines
package.json                                                     61 lines
server\server\models\UserLearnProgress.js                        61 lines
src\hooks\usePlaybackControls.ts                                 61 lines
src\pages\adminUsers\UsersPagination.tsx                         61 lines
src\components\profilePage\PerformanceByColorCard.tsx            60 lines
src\components\replay\explanation\ExplanationHeader.tsx          60 lines
src\config\network.ts                                            60 lines
src\pages\playFourPlayer\PieceIcon.tsx                           60 lines
src\components\replay\ReplayHeader.tsx                           59 lines
src\store\themeStore.ts                                          59 lines
server\server\models\LearnCourse.js                              58 lines
src\components\settings\Modal.tsx                                58 lines
src\hooks\useMoveOptions.ts                                      58 lines
src\pages\adminUsers\UserStatsCards.tsx                          58 lines
src\store\gameConfigStore.ts                                     58 lines
src\utils\oauthConfig.ts                                         58 lines
src\components\community\FilterTabs.tsx                          57 lines
src\pages\playFourPlayer\types.ts                                57 lines
server\server\models\Notification.js                             55 lines
server\server\routes\index.js                                    55 lines
server\server\utils\gameLifecyclePolicy.js                       55 lines
src\components\replay\MoveQualityPill.tsx                        55 lines
src\pages\adminAnalyze\AdminAnalysisLoadingOverlay.tsx           55 lines
server\server\bootstrap\registerApiRoutes.js                     54 lines
server\server\routes\gameConfig.js                               54 lines
src\components\replay\CapturedPieces.tsx                         54 lines
src\components\settings\Toast.tsx                                54 lines
server\server\models\TournamentStandingSnapshot.js               52 lines
src\hooks\useGameReplayTypes.ts                                  52 lines
src\pages\analyze\AnalysisLoadingOverlay.tsx                     51 lines
server\server\models\TournamentEloEvent.js                       50 lines
server\server\seedBots.js                                        50 lines
src\components\settings\SettingsCard.tsx                         49 lines
src\components\profile\StatCard.tsx                              48 lines
src\components\profilePage\QuickStatsCard.tsx                    48 lines
src\components\profile\GameCardActions.tsx                       47 lines
src\hooks\useKeyboardControls.ts                                 47 lines
src\pages\NotFound.tsx                                           47 lines
src\pages\quickMatch\types.ts                                    47 lines
server\server\models\UserConversationState.js                    46 lines
src\components\settings\SettingRow.tsx                           46 lines
src\hooks\useStockfishEngine.ts                                  46 lines
tailwind.config.js                                               46 lines
countMyCode.js                                                   45 lines
src\pages\puzzleTrainer\types.ts                                 45 lines
server\server\utils\communityMediaStorage.js                     44 lines
server\server\utils\gameLifecyclePolicy.test.js                  44 lines
src\pages\analyze\activePlayer.ts                                43 lines
src\utils\gameplaySettings.ts                                    43 lines
src\components\game\setup\TimeControlSelector.tsx                42 lines
src\components\settings\BoardThemePicker.tsx                     42 lines
src\hooks\moveAnalysis\utils.ts                                  42 lines
server\server\bootstrap\runStartupTasks.js                       41 lines
server\server\routes\featuredEvents.js                           41 lines
src\components\game\setup\constants.ts                           40 lines
src\components\game\setup\CustomDifficultySelector.tsx           40 lines
src\hooks\useReplayMoveSounds.ts                                 40 lines
src\pages\analyze\activePlayer.test.ts                           40 lines
src\pages\puzzleTrainer\PuzzleInfoCard.tsx                       40 lines
src\chess\types.ts                                               39 lines
src\components\settings\Toggle.tsx                               39 lines
src\hooks\useChessboardDndBackend.ts                             39 lines
src\hooks\useOAuthConfig.ts                                      39 lines
src\hooks\useTheme.ts                                            39 lines
src\i18n.ts                                                      39 lines
src\pages\puzzleTrainer\PuzzleProgressBar.tsx                    39 lines
src\components\community\postComposer\ComposerFeedbackBanner.tsx     38 lines
src\components\game\setup\PlayAsSelector.tsx                     38 lines
src\components\settings\Slider.tsx                               38 lines
src\utils\analyzeNavigation.ts                                   38 lines
src\components\replay\explanation\BestMoveDisplay.tsx            37 lines
src\components\settings\ColorSwatchPicker.tsx                    37 lines
src\hooks\useEvaluation.ts                                       37 lines
server\server\models\index.js                                    36 lines
src\components\profile\GameCardMoveHistory.tsx                   36 lines
server\package.json                                              35 lines
server\server\models\DailyPuzzleState.js                         35 lines
server\server\models\UserPuzzleMotifStats.js                     35 lines
src\components\game\setup\TabSelector.tsx                        35 lines
src\components\profile\ProgressBar.tsx                           35 lines
src\components\replay\explanation\useBestMove.ts                 35 lines
vite.config.ts                                                   35 lines
server\server\models\GamePageConfig.js                           34 lines
server\server\models\UserPuzzleStats.js                          34 lines
client_secret_588502511960-gkf4hgkja7pu0drehngcan9hk5d452ii.apps.googleusercontent.com.json     33 lines
server\server\routes\analysisAi.js                               33 lines
src\components\community\postComposer\types.ts                   33 lines
src\pages\adminUsers\types.ts                                    33 lines
server\server\models\TournamentTransitionLog.js                  32 lines
src\components\profilePage\StatsGrid.tsx                         32 lines
src\components\settings\ThemeWindow.tsx                          32 lines
server\server\models\Puzzle.js                                   31 lines
src\components\settings\SegmentedControl.tsx                     31 lines
src\hooks\gameHistorySaver\types.ts                              31 lines
server\server\models\LearnLesson.js                              30 lines
src\components\replay\AccuracyBadge.tsx                          30 lines
src\pages\playWithBot\types.ts                                   30 lines
importPuzzles50.js                                               29 lines
server\server\config\env.js                                      29 lines
server\server\importPuzzles50.js                                 29 lines
server\server\models\CommunityPostLike.js                        29 lines
src\components\settings\Select.tsx                               29 lines
server\server\models\BlockedUser.js                              28 lines
server\server\routes\learn.js                                    28 lines
src\hooks\gameHistorySaver\historyPersistence.ts                 28 lines
src\hooks\useCaptureTimeline.ts                                  28 lines
server\server\models\Friend.js                                   27 lines
server\server\package.json                                       27 lines
src\utils\liveGameReview.ts                                      27 lines
tsconfig.app.json                                                27 lines
server\server\config\db.js                                       26 lines
src\components\profilePage\index.ts                              26 lines
src\components\replay\explanation\types.ts                       26 lines
src\hooks\useGameplayPreferences.ts                              26 lines
src\pages\puzzleTrainer\PuzzlePanelHeader.tsx                    26 lines
src\components\replay\explanation\utils.ts                       25 lines
tsconfig.node.json                                               25 lines
server\server\bootstrap\corsConfig.js                            24 lines
server\server\models\TournamentTemplate.js                       24 lines
src\components\replay\explanation\EmptyState.tsx                 24 lines
src\components\replay\explanation\SuggestionTip.tsx              24 lines
src\pages\adminLearn\useAdminGuard.ts                            24 lines
src\components\settings\useToast.ts                              23 lines
src\pages\playWithBot\utils.tsx                                  23 lines
server\server\bootstrap\healthRoute.js                           22 lines
src\components\profilePage\NoGamesPlaceholder.tsx                22 lines
index.html                                                       20 lines
src\pages\adminDashboard\types.ts                                20 lines
src\components\game\types.ts                                     19 lines
server\server\utils\runtimeMediaMigration.js                     18 lines
src\hooks\moveAnalysis\types.ts                                  18 lines
server\server\models\Admin.js                                    17 lines
src\hooks\useDownloadPgn.ts                                      17 lines
src\pages\playWithFriend\types.ts                                17 lines
src\utils\stockfishWorker.ts                                     17 lines
src\pages\watch\types.ts                                         16 lines
src\utils\theme.ts                                               15 lines
src\components\game\index.ts                                     14 lines
src\components\settings\index.ts                                 14 lines
src\hooks\useBoardTheme.ts                                       14 lines
server\server\models\History960.js                               12 lines
src\components\replay\explanation\index.ts                       12 lines
src\components\replay\index.ts                                   12 lines
src\hooks\moveAnalysis\index.ts                                  11 lines
src\pages\puzzleTrainer\index.ts                                 10 lines
server\server\middleware\index.js                                 9 lines
src\components\game\setup\index.ts                                8 lines
src\components\profile\index.ts                                   8 lines
src\pages\adminUsers\index.ts                                     8 lines
tsconfig.json                                                     8 lines
src\pages\playWithBot\index.ts                                    7 lines
src\pages\puzzles\index.ts                                        7 lines
postcss.config.js                                                 6 lines
src\chess\index.ts                                                6 lines
src\components\dashboardComponents\index.ts                       6 lines
src\hooks\gameHistorySaver\index.ts                               6 lines
src\pages\adminBots\index.ts                                      6 lines
server\server\seeds\index.js                                      5 lines
src\pages\adminAnalyze\index.ts                                   5 lines
src\pages\adminDashboard\index.ts                                 5 lines
src\pages\adminGames\index.ts                                     5 lines
src\pages\analyze\index.ts                                        5 lines
src\pages\playWithFriend\index.ts                                 5 lines
src\pages\quickMatch\index.ts                                     5 lines
src\pages\watch\index.ts                                          5 lines
server\server\routes\messages.js                                  4 lines
server\server\routes\tournamentRoutes.js                          4 lines
src\pages\analyze\types.ts                                        4 lines
src\pages\game\index.ts                                           4 lines
src\vite-env.d.ts                                                 4 lines
public\yw_manifest.json                                           3 lines
src\components\game\GameSetupModal.tsx                            3 lines
src\components\replay\MoveExplanationPanel.tsx                    3 lines
src\hooks\useGameHistorySaver.ts                                  3 lines
src\hooks\useMoveAnalysis.ts                                      3 lines
src\pages\analyze960\index.ts                                     3 lines
yw_manifest.json                                                  3 lines
server\index.js                                                   2 lines
src\pages\adminAnalyze\types.ts                                   2 lines
src\pages\adminCommunity\index.ts                                 2 lines
src\pages\adminFeaturedEvents\index.ts                            2 lines
