avg_centipawn_loss,std_centipawn_loss,median_centipawn_loss,max_centipawn_loss,cp_loss_q25,cp_loss_q75,top1_move_rate,blunder_rate,mistake_rate,cp_loss_variance,player_elo,opponent_elo,elo_diff,player_rd,game_length,time_base,won,is_computer
8.342857142857143,11.713100985387156,2.0,47.0,0.0,14.5,0.6857142857142857,0.0,0.0,137.19673469387754,2950,3043,-93,25.1,143,0,0.5,0
431.11538461538464,1863.973265055118,34.0,9746.0,2.75,120.25,0.34615384615384615,0.038461538461538464,0.2692307692307692,3474396.332840237,1966,2035,-69,29.4,53,900,0.0,1
48.77777777777778,66.62072491090383,15.0,272.0,0.0,99.5,0.48148148148148145,0.037037037037037035,0.2222222222222222,4438.3209876543215,2035,1966,69,33.0,53,900,1.0,0
50.628571428571426,72.65971008329001,34.0,308.0,0.5,59.0,0.4857142857142857,0.05714285714285714,0.08571428571428572,5279.433469387756,1988,2022,-34,29.0,73,900,1.0,1
317.4,1563.1064893803164,14.0,9420.0,3.0,53.0,0.34285714285714286,0.08571428571428572,0.08571428571428572,2443301.897142857,2022,1988,34,27.8,73,900,0.0,0
56.08571428571429,40.72091174152691,51.0,132.0,19.5,91.0,0.2,0.0,0.17142857142857143,1658.1926530612243,1951,2091,-140,22.4,88,300,1.0,1
42.82857142857143,41.324835641733976,36.0,169.0,8.5,65.0,0.3142857142857143,0.0,0.08571428571428572,1707.7420408163268,2091,1951,140,17.6,88,300,0.0,0
16.125,22.981990231483433,3.5,91.0,0.0,25.25,0.4375,0.0,0.0,528.171875,2126,2008,118,37.2,64,300,1.0,1
23.0,35.047289481499135,5.5,123.0,2.0,21.0,0.53125,0.0,0.03125,1228.3125,2008,2126,-118,17.6,64,300,0.0,0
13.4,26.760792215478222,1.5,96.0,0.0,11.0,0.55,0.0,0.0,716.1399999999999,2108,1935,173,19.6,39,300,1.0,1
38.05263157894737,70.40071297800637,6.0,296.0,0.0,46.5,0.3684210526315789,0.05263157894736842,0.05263157894736842,4956.260387811633,1935,2108,-173,24.1,39,300,0.0,0
27.0,35.175478471717845,14.0,135.0,0.0,39.5,0.4,0.0,0.05714285714285714,1237.3142857142857,2101,1978,123,17.7,84,300,1.0,1
34.77142857142857,46.2231146346783,13.0,183.0,1.0,51.0,0.45714285714285713,0.0,0.08571428571428572,2136.576326530612,1978,2101,-123,23.4,84,300,0.0,0
69.46666666666667,136.04159494638233,5.0,440.0,0.0,24.5,0.26666666666666666,0.13333333333333333,0.06666666666666667,18507.315555555557,2013,2025,-12,39.5,30,900,0.0,1
25.466666666666665,47.60093369765859,0.0,142.0,0.0,19.0,0.6666666666666666,0.0,0.13333333333333333,2265.848888888889,2025,2013,12,24.7,30,900,1.0,0
27.366666666666667,47.08466369801908,9.0,232.0,0.0,34.5,0.43333333333333335,0.03333333333333333,0.03333333333333333,2216.9655555555555,1972,2049,-77,21.9,60,300,1.0,1
